,img,bank,card_name,card_type,required_income,required_applicant,reward_points,reward_category,each_spending
87,https://ringgitplus.com/img/card-400/519489e2193821ed4a00005f/bsn-classic-mastercard.jpg,bsn,bsn_classic_mastercard,mastercard,2000.0,Malaysians Only,1.0,on all local retail expenses,1
88,https://ringgitplus.com/img/card-400/554840c62097f5c41eb83bd9/bsn-gold-mastercard-credit-card-i.jpg,bsn,bsn_gold_mastercard_credit_card_i,mastercard,3000.0,Malaysians Only,1.0,local retail spending,1
89,https://ringgitplus.com/img/card-400/554840c62097f5c41eb83bd9/bsn-gold-mastercard-credit-card-i.jpg,bsn,bsn_gold_mastercard_credit_card_i,mastercard,3000.0,Malaysians Only,2.0,overseas retail spending,1
90,https://ringgitplus.com/img/card-400/519489e2193821ed4a000058/bsn-platinum-mastercard.jpg,bsn,bsn_platinum_mastercard,mastercard,4000.0,Malaysians Only,2.0,on overseas retail expenses,1
91,https://ringgitplus.com/img/card-400/519489e2193821ed4a000058/bsn-platinum-mastercard.jpg,bsn,bsn_platinum_mastercard,mastercard,4000.0,Malaysians Only,2.0,"on local dining, golf and travel expenses",1
92,https://ringgitplus.com/img/card-400/519489e2193821ed4a000058/bsn-platinum-mastercard.jpg,bsn,bsn_platinum_mastercard,mastercard,4000.0,Malaysians Only,1.0,on local retail expenses,1
93,https://ringgitplus.com/img/card-400/554864552097f5c41eb83bde/bsn-classic-mastercard-credit-card-i.jpg,bsn,bsn_classic_mastercard_credit_card_i,mastercard,2000.0,Malaysians Only,1.0,local retail spending,1
94,https://ringgitplus.com/img/card-400/554864552097f5c41eb83bde/bsn-classic-mastercard-credit-card-i.jpg,bsn,bsn_classic_mastercard_credit_card_i,mastercard,2000.0,Malaysians Only,2.0,overseas retail spending,1
95,https://ringgitplus.com/img/card-400/56051c5234a4e55376a16124/bank-islam-infinite-visa-credit-card-i.jpg,bank_islam,bank_islam_infinite_visa_credit_card_i,visa,8333.33,Anybody,1.0,on all local and overseas retail expenses,1
96,https://ringgitplus.com/img/card-400/5295b80e28ea575849002407/bank-islam-platinum-visa-credit-card-i.jpg,bank_islam,bank_islam_platinum_visa_credit_card_i,visa,4000.0,Anybody,1.0,on all local and overseas retail expenses,1
97,https://ringgitplus.com/img/card-400/519489e2193821ed4a000050/bank-islam-gold-visa-card-i.jpg,bank_islam,bank_islam_gold_visa_card_i,visa,2000.0,Anybody,1.0,on all local and overseas retail expenses,1
98,https://ringgitplus.com/img/card-400/519489e2193821ed4a000053/bank-islam-platinum-mastercard-card-i.jpg,bank_islam,bank_islam_platinum_mastercard_card_i,mastercard,4000.0,Anybody,1.0,on all local and overseas retail expenses,1
99,https://ringgitplus.com/img/card-400/519489e2193821ed4a00004f/bank-islam-gold-mastercard-card-i.jpg,bank_islam,bank_islam_gold_mastercard_card_i,mastercard,2000.0,Anybody,1.0,on all local and overseas retail expenses,1
100,https://ringgitplus.com/img/card-400/563980363c97b2d92da60d90/bank-rakyat-platinum-credit-card-i.jpg,bank_rakyat,bank_rakyat_platinum_credit_card_i,,5000.0,Anybody,1.0,on all local and overseas retail expenses,10
101,https://ringgitplus.com/img/card-400/519489e2193821ed4a000054/bank-rakyat-classic-credit-card-i.jpg,bank_rakyat,bank_rakyat_classic_credit_card_i,,2000.0,Anybody,1.0,on all local and overseas retail expenses,10
102,https://ringgitplus.com/img/card-400/519489e2193821ed4a000056/bank-rakyat-gold-credit-card-i.jpg,bank_rakyat,bank_rakyat_gold_credit_card_i,,3000.0,Anybody,1.0,on all local and overseas retail expenses,10
103,https://ringgitplus.com/img/card-400/5eec7e8eab6acc96484ae826/cimb-e-credit-card.jpg,cimb,cimb_e_credit_card,,2000.0,Anybody,12.0,on online/contactless transactions for strategic partner special day,1
104,https://ringgitplus.com/img/card-400/5eec7e8eab6acc96484ae826/cimb-e-credit-card.jpg,cimb,cimb_e_credit_card,,2000.0,Anybody,10.0,on online/contactless transactions on special day,1
105,https://ringgitplus.com/img/card-400/5eec7e8eab6acc96484ae826/cimb-e-credit-card.jpg,cimb,cimb_e_credit_card,,2000.0,Anybody,5.0,on online transactions on normal day,1
106,https://ringgitplus.com/img/card-400/5eec7e8eab6acc96484ae826/cimb-e-credit-card.jpg,cimb,cimb_e_credit_card,,2000.0,Anybody,1.0,on in-store pin purchases (everyday),1
107,https://ringgitplus.com/img/card-400/519489e2193821ed4a000073/cimb-enrich-world-mastercard.jpg,cimb,cimb_enrich_world_mastercard,mastercard,8333.33,Malaysians Only,2.0,overseas spend,3
108,https://ringgitplus.com/img/card-400/519489e2193821ed4a000073/cimb-enrich-world-mastercard.jpg,cimb,cimb_enrich_world_mastercard,mastercard,8333.33,Malaysians Only,1.0,local spend,3
109,https://ringgitplus.com/img/card-400/519489e2193821ed4a000077/cimb-platinum-mastercard.jpg,cimb,cimb_platinum_mastercard,mastercard,2000.0,Malaysians Only,1.0,on all retail spends,1
110,https://ringgitplus.com/img/card-400/519489e2193821ed4a00006c/cimb-world-mastercard.jpg,cimb,cimb_world_mastercard,mastercard,7500.0,Malaysians Only,5.0,on full fare flight tickets,1
111,https://ringgitplus.com/img/card-400/519489e2193821ed4a00006c/cimb-world-mastercard.jpg,cimb,cimb_world_mastercard,mastercard,7500.0,Malaysians Only,1.0,on all local retail spends,1
112,https://ringgitplus.com/img/card-400/56bc3a294d971cbc389dd40c/cimb-enrich-world-elite-mastercard.jpg,cimb,cimb_enrich_world_elite_mastercard,mastercard,20833.33,Malaysians Only,1.0,on overseas retail spending,1
113,https://ringgitplus.com/img/card-400/56bc3a294d971cbc389dd40c/cimb-enrich-world-elite-mastercard.jpg,cimb,cimb_enrich_world_elite_mastercard,mastercard,20833.33,Malaysians Only,1.0,on local retail spending,2
114,https://ringgitplus.com/img/card-400/519489e2193821ed4a00006b/cimb-visa-signature.jpg,cimb,cimb_visa_signature,visa,5000.0,Malaysians Only,2.0,on all overseas retail spends,1
115,https://ringgitplus.com/img/card-400/519489e2193821ed4a00006b/cimb-visa-signature.jpg,cimb,cimb_visa_signature,visa,5000.0,Malaysians Only,1.0,on all local retail spends,1
116,https://ringgitplus.com/img/card-400/519489e2193821ed4a000074/cimb-visa-infinite.jpg,cimb,cimb_visa_infinite,visa,10000.0,Anybody,5.0,on overseas retail spends,1
117,https://ringgitplus.com/img/card-400/519489e2193821ed4a000074/cimb-visa-infinite.jpg,cimb,cimb_visa_infinite,visa,10000.0,Anybody,1.0,on local spends,1
118,https://ringgitplus.com/img/card-400/519489e2193821ed4a000076/cimb-platinum-visa.jpg,cimb,cimb_platinum_visa,visa,2000.0,Malaysians Only,1.0,on all retail spends,1
119,https://ringgitplus.com/img/card-400/519489e2193821ed4a000072/cimb-enrich-platinum-mastercard.jpg,cimb,cimb_enrich_platinum_mastercard,mastercard,2000.0,Malaysians Only,1.0,on all local retail spends,4
120,https://ringgitplus.com/img/card-400/519489e2193821ed4a00007a/cimb-islamic-mastercard-platinum.jpg,cimb,cimb_islamic_mastercard_platinum,mastercard,2000.0,Malaysians Only,1.0,on all retail spends,1
121,https://ringgitplus.com/img/card-400/5dc26df07074fb6543301594/lazada-citi-platinum.jpg,citibank,lazada_citi_platinum,,2000.0,Anybody,10.0,on lazada spends and lazada wallet per statement month,1
122,https://ringgitplus.com/img/card-400/5dc26df07074fb6543301594/lazada-citi-platinum.jpg,citibank,lazada_citi_platinum,,2000.0,Anybody,5.0,on online and lifestyle category spends per statement month,1
123,https://ringgitplus.com/img/card-400/5dc26df07074fb6543301594/lazada-citi-platinum.jpg,citibank,lazada_citi_platinum,,2000.0,Anybody,1.0,on all other spends and petrol,1
124,https://ringgitplus.com/img/card-400/5dc26df07074fb6543301594/lazada-citi-platinum.jpg,citibank,lazada_citi_platinum,,2000.0,Anybody,1000.0,monthly bonus points,1500
125,https://ringgitplus.com/img/card-400/57eddd12655a14fd555f44f2/citi-rewards-mastercard.jpg,citibank,citi_rewards_mastercard,mastercard,5000.0,Anybody,5.0,on all overseas retail (excluding eea transaction),1
126,https://ringgitplus.com/img/card-400/57eddd12655a14fd555f44f2/citi-rewards-mastercard.jpg,citibank,citi_rewards_mastercard,mastercard,5000.0,Anybody,1.0,on other local retail transaction,1
127,https://ringgitplus.com/img/card-400/519489e2193821ed4a000086/citi-premiermiles-mastercard.jpg,citibank,citi_premiermiles_mastercard®,,8333.33,Anybody,2.0,on selected online travel merchants,3
128,https://ringgitplus.com/img/card-400/519489e2193821ed4a000086/citi-premiermiles-mastercard.jpg,citibank,citi_premiermiles_mastercard®,,8333.33,Anybody,1.0,on all local expenses,3
129,https://ringgitplus.com/img/card-400/519489e2193821ed4a000085/citi-clear-mastercard.jpg,citibank,citi_clear_mastercard,mastercard,2000.0,Anybody,3.0,"at borders, topshop, topman, gap, la senza, zouk club kl, vincci, g2000 and sakae sushi!",1
130,https://ringgitplus.com/img/card-400/519489e2193821ed4a000085/citi-clear-mastercard.jpg,citibank,citi_clear_mastercard,mastercard,2000.0,Anybody,1.0,on other retail transactions,1
131,https://ringgitplus.com/img/card-400/519489e2193821ed4a000093/citi-prestige-mastercard.jpg,citibank,citi_prestige_mastercard,mastercard,16000.0,Anybody,2.0,equivalent when you spend in foreign currencies*,1
132,https://ringgitplus.com/img/card-400/519489e2193821ed4a000093/citi-prestige-mastercard.jpg,citibank,citi_prestige_mastercard,mastercard,16000.0,Anybody,1.0,on eligible purchases locally,1
133,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e3/hsbc-platinum-credit-card.jpg,hsbc,hsbc_platinum_credit_card,,3000.0,Anybody,8.0,on contactless spend,1
134,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e3/hsbc-platinum-credit-card.jpg,hsbc,hsbc_platinum_credit_card,,3000.0,Anybody,5.0,"on online, overseas and groceries expenses",1
135,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000dd/hsbc-visa-signature.jpg,hsbc,hsbc_visa_signature,visa,6000.0,Anybody,8.0,on online spend in foreign currency,1
136,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000dd/hsbc-visa-signature.jpg,hsbc,hsbc_visa_signature,visa,6000.0,Anybody,5.0,on online retail spends in ringgit malaysia,1
137,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000b8/gsc-hong-leong-platinum-visa.jpg,hong_leong_bank,gsc_hong_leong_platinum_visa,visa,5000.0,Anybody,3.0,online spend,1
138,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000b8/gsc-hong-leong-platinum-visa.jpg,hong_leong_bank,gsc_hong_leong_platinum_visa,visa,5000.0,Anybody,1.0,other retail spends,1
139,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000b7/gsc-hong-leong-gold-visa.jpg,hong_leong_bank,gsc_hong_leong_gold_visa,visa,2000.0,Anybody,3.0,online spend,1
140,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000b7/gsc-hong-leong-gold-visa.jpg,hong_leong_bank,gsc_hong_leong_gold_visa,visa,2000.0,Anybody,1.0,other retail spends,1
141,https://ringgitplus.com/img/card-400/52de431e78d623a405002db3/hong-leong-visa-infinite.jpg,hong_leong_bank,hong_leong_visa_infinite,visa,12500.0,Anybody,5.0,on local retail spends,14
142,https://ringgitplus.com/img/card-400/52de431e78d623a405002db3/hong-leong-visa-infinite.jpg,hong_leong_bank,hong_leong_visa_infinite,visa,12500.0,Anybody,5.0,on overseas retail spends,9
143,https://ringgitplus.com/img/card-400/5c25a8533789a7aa1e09058a/hong-leong-airasia-platinum-visa.jpg,hong_leong_bank,hong_leong_airasia_platinum_visa,visa,2000.0,Anybody,1.0,for airasia transactions,1
144,https://ringgitplus.com/img/card-400/5c25a8533789a7aa1e09058a/hong-leong-airasia-platinum-visa.jpg,hong_leong_bank,hong_leong_airasia_platinum_visa,visa,2000.0,Anybody,1.0,for overseas transactions,2
145,https://ringgitplus.com/img/card-400/5c25a8533789a7aa1e09058a/hong-leong-airasia-platinum-visa.jpg,hong_leong_bank,hong_leong_airasia_platinum_visa,visa,2000.0,Anybody,1.0,for local transactions,3
146,https://ringgitplus.com/img/card-400/5c25e03bf38a34286a6bb3b1/hong-leong-airasia-gold-visa.jpg,hong_leong_bank,hong_leong_airasia_gold_visa,visa,2000.0,Anybody,1.0,for airasia transactions,1
147,https://ringgitplus.com/img/card-400/5c25e03bf38a34286a6bb3b1/hong-leong-airasia-gold-visa.jpg,hong_leong_bank,hong_leong_airasia_gold_visa,visa,2000.0,Anybody,1.0,for overseas transactions,2
148,https://ringgitplus.com/img/card-400/5c25e03bf38a34286a6bb3b1/hong-leong-airasia-gold-visa.jpg,hong_leong_bank,hong_leong_airasia_gold_visa,visa,2000.0,Anybody,1.0,for local transactions,5
149,https://ringgitplus.com/img/card-400/5d8c43e829b550c865d2b001/hong-leong-emirates-hlb-platinum-card.jpg,hong_leong_bank,hong_leong_emirates_hlb_platinum_card,,5000.0,Anybody,1.5,for emirates transaction,4
150,https://ringgitplus.com/img/card-400/5d8c43e829b550c865d2b001/hong-leong-emirates-hlb-platinum-card.jpg,hong_leong_bank,hong_leong_emirates_hlb_platinum_card,,5000.0,Anybody,1.25,for overseas transaction,4
151,https://ringgitplus.com/img/card-400/5d8c43e829b550c865d2b001/hong-leong-emirates-hlb-platinum-card.jpg,hong_leong_bank,hong_leong_emirates_hlb_platinum_card,,5000.0,Anybody,0.5,for local transaction,4
152,https://ringgitplus.com/img/card-400/5d8c3db729b550c865d2afff/hong-leong-emirates-hlb-world-card.jpg,hong_leong_bank,hong_leong_emirates_hlb_world_card,,7500.0,Anybody,2.0,for emirates transaction,4
153,https://ringgitplus.com/img/card-400/5d8c3db729b550c865d2afff/hong-leong-emirates-hlb-world-card.jpg,hong_leong_bank,hong_leong_emirates_hlb_world_card,,7500.0,Anybody,1.5,for overseas transaction,4
154,https://ringgitplus.com/img/card-400/5d8c3db729b550c865d2afff/hong-leong-emirates-hlb-world-card.jpg,hong_leong_bank,hong_leong_emirates_hlb_world_card,,7500.0,Anybody,1.0,for local transaction,4
155,https://ringgitplus.com/img/card-400/5d8c31bc29b550c865d2aff8/hong-leong-emirates-hlb-world-elite-card.jpg,hong_leong_bank,hong_leong_emirates_hlb_world_elite_card,,20833.33,Anybody,2.5,for emirates transaction,4
156,https://ringgitplus.com/img/card-400/5d8c31bc29b550c865d2aff8/hong-leong-emirates-hlb-world-elite-card.jpg,hong_leong_bank,hong_leong_emirates_hlb_world_elite_card,,20833.33,Anybody,1.75,for overseas transaction,4
157,https://ringgitplus.com/img/card-400/5d8c31bc29b550c865d2aff8/hong-leong-emirates-hlb-world-elite-card.jpg,hong_leong_bank,hong_leong_emirates_hlb_world_elite_card,,20833.33,Anybody,1.0,for local transaction,4
158,https://ringgitplus.com/img/card-400/52cbc69a8dbd98902100116c/icbc-visa-platinum.jpg,icbc,icbc_visa_platinum,visa,8333.33,Malaysians Only,1.0,on all local expenses,1
159,https://ringgitplus.com/img/card-400/52cbb612725695036c001b38/icbc-visa-gold.jpg,icbc,icbc_visa_gold,visa,4000.0,Malaysians Only,1.0,on all local retail transaction,1
160,https://ringgitplus.com/img/card-400/52cbb079725695036c0009ec/icbc-visa-classic.jpg,icbc,icbc_visa_classic,visa,2000.0,Malaysians Only,1.0,on all local retail expenses,1
161,https://ringgitplus.com/img/card-400/5efb15f04e3602772bc1dbc2/maybank-shopee-visa-platinum.jpg,maybank,maybank_shopee_visa_platinum,visa,3000.0,Anybody,5.0,on shopee spend on special days,1
162,https://ringgitplus.com/img/card-400/5efb15f04e3602772bc1dbc2/maybank-shopee-visa-platinum.jpg,maybank,maybank_shopee_visa_platinum,visa,3000.0,Anybody,2.0,"on dining, paywave and entertainment spend on normal days",1
163,https://ringgitplus.com/img/card-400/5efb15f04e3602772bc1dbc2/maybank-shopee-visa-platinum.jpg,maybank,maybank_shopee_visa_platinum,visa,3000.0,Anybody,4.0,"on dining, paywave and entertainment spend on special days",1
164,https://ringgitplus.com/img/card-400/5efb15f04e3602772bc1dbc2/maybank-shopee-visa-platinum.jpg,maybank,maybank_shopee_visa_platinum,visa,3000.0,Anybody,1.0,"on utilities, education, ezypay and insurance",1
165,https://ringgitplus.com/img/card-400/5f45eb359224a5a83ac04e14/maybank-grab-mastercard-platinum.jpg,maybank,maybank_grab_mastercard_platinum,mastercard,3000.0,Malaysians Only,5.0,"for all purchases made in grab app, including grab e-wallet reloads",1
166,https://ringgitplus.com/img/card-400/5f45eb359224a5a83ac04e14/maybank-grab-mastercard-platinum.jpg,maybank,maybank_grab_mastercard_platinum,mastercard,3000.0,Malaysians Only,2.0,"for transaction made overseas, cross-border and e-commerce",1
167,https://ringgitplus.com/img/card-400/5f45eb359224a5a83ac04e14/maybank-grab-mastercard-platinum.jpg,maybank,maybank_grab_mastercard_platinum,mastercard,3000.0,Malaysians Only,1.0,for other local purchases made,3
168,https://ringgitplus.com/img/card-400/54bf212f6a3668363f2c4e56/maybank-visa-signature.jpg,maybank,maybank_visa_signature,visa,5833.33,Anybody,5.0,on all overseas retail,1
169,https://ringgitplus.com/img/card-400/54bf212f6a3668363f2c4e56/maybank-visa-signature.jpg,maybank,maybank_visa_signature,visa,5833.33,Anybody,1.0,on 0% ezypay,1
170,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000f5/maybank-2-gold-cards.jpg,maybank,maybank_2_gold_cards,,2500.0,Anybody,5.0,on all retail with maybank 2 american express card (weekdays),1
171,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000f5/maybank-2-gold-cards.jpg,maybank,maybank_2_gold_cards,,2500.0,Anybody,1.0,on all retail with maybank 2 mastercard or visa,1
172,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000f6/petronas-maybank-visa-platinum.jpg,maybank,petronas_maybank_visa_platinum,visa,5000.0,Anybody,8.0,on groceries every weekend,1
173,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000f6/petronas-maybank-visa-platinum.jpg,maybank,petronas_maybank_visa_platinum,visa,5000.0,Anybody,5.0,on weekdays at petronas,1
174,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000f6/petronas-maybank-visa-platinum.jpg,maybank,petronas_maybank_visa_platinum,visa,5000.0,Anybody,1.0,"on education, insurance, utilities and 0% ezypay",1
